PWM	motif_score_0.001	motif_score_0.0005	motif_score_0.0001
CLOCK.H13CORE.1.PS.A	0.89789	2.51299	5.02741
COE1.H13CORE.0.P.B	2.40041	3.75261	6.50341
COE2.H13CORE.0.P.B	3.03431	4.34141	7.10291
COE3.H13CORE.0.P.B	3.54891	4.73761	7.12772
COT1.H13CORE.0.PSM.A	4.86692	5.88056	7.67936
COT1.H13CORE.1.PSM.A	-0.09149	1.51841	4.82101
COT2.H13CORE.0.P.B	4.24701	5.22981	7.21521
COT2.H13CORE.1.P.B	4.57923	5.49521	7.48949
CPEB1.H13CORE.0.S.B	4.97919	6.16912	7.73213
CPEB1.H13CORE.1.S.B	1.96781	3.39031	6.45641
CPXCR1.H13CORE.0.P.C	4.03351	5.18961	7.37471
CR3L1.H13CORE.0.PSM.A	2.31831	3.76971	6.69801
CR3L2.H13CORE.0.PS.A	5.04384	5.86004	7.68229
CR3L4.H13CORE.0.M.C	2.53961	3.88791	6.60642
CR3L4.H13CORE.1.S.C	3.08722	4.71126	7.59569
CREB1.H13CORE.0.PSM.A	1.67612	2.89026	6.36718
CREB3.H13CORE.0.SM.B	0.51351	2.37111	5.42454
CREB3L3.H13CORE.0.PSGIB.A	1.06141	2.62201	5.81511
CREB5.H13CORE.0.P.B	4.30990	5.27772	7.22023
CREB5.H13CORE.1.SM.B	2.44954	3.84662	6.82418
CREM.H13CORE.0.PSM.A	3.49533	5.28224	7.98646
CREM.H13CORE.1.P.C	4.75391	5.52241	7.10861
CRX.H13CORE.0.PSM.A	4.19742	5.78683	7.75243
CTCF.H13CORE.0.P.B	0.20631	1.72571	4.86731
CTCFL.H13CORE.0.P.B	3.04571	4.17251	6.51411
CUX1.H13CORE.0.PM.A	4.15971	5.20071	7.54633
CUX1.H13CORE.1.S.B	1.85281	3.12641	7.27051
CUX1.H13CORE.2.P.C	4.16901	5.07491	6.97161
CUX2.H13CORE.0.P.C	4.24683	5.18681	7.31920
CUX2.H13CORE.1.SM.B	1.32913	2.82434	6.40944
CUX2.H13CORE.2.S.C	3.20831	4.89172	7.46411
CXXC4.H13CORE.0.PSGIB.A	5.70025	6.19399	7.01082
DACH1.H13CORE.0.S.B	1.61861	2.99491	5.82451
DACH2.H13CORE.0.S.B	4.78172	5.68962	7.45634
DBP.H13CORE.0.SM.B	0.28191	2.15591	5.36501
DDIT3.H13CORE.0.P.B	5.02323	5.85923	7.39822
DLX1.H13CORE.0.S.B	2.16261	3.78551	7.09111
DLX1.H13CORE.1.PSM.A	3.09741	4.49528	7.97920
DLX2.H13CORE.0.PSM.A	3.08841	4.88738	7.97771
DLX2.H13CORE.1.S.B	2.24001	3.79531	7.11211
DLX3.H13CORE.0.SM.B	1.69141	2.88461	7.03441
DLX3.H13CORE.1.S.B	2.04571	3.64731	6.95181
DLX4.H13CORE.0.SM.B	2.28421	3.89702	8.07361
DLX4.H13CORE.1.S.C	1.68401	3.18921	6.62631
DLX5.H13CORE.0.PSM.A	2.31622	4.38232	8.02611
DLX6.H13CORE.0.SM.B	2.46841	4.53772	7.98692
DMBX1.H13CORE.0.SM.B	5.41857	6.04740	6.95099
DMRT1.H13CORE.0.PS.A	3.18961	4.33921	6.71721
DMRT1.H13CORE.1.M.C	4.73091	5.72631	7.49032
DMRT3.H13CORE.0.S.C	0.62351	2.20481	5.44991
DMRTA.H13CORE.0.SM.B	2.87891	4.30321	6.93971
DMRTB.H13CORE.0.P.C	2.86771	4.05571	6.49861
DMRTD.H13CORE.0.SM.B	3.06861	4.41341	7.05981
DMTA2.H13CORE.0.SM.B	3.96451	5.25831	7.44911
DMTF1.H13CORE.0.PSGIB.A	0.36421	2.02781	5.43951
DNTTIP1.H13CORE.0.PSG.A	5.08017	5.82271	7.21344
DPF1.H13CORE.0.SM.B	2.34481	3.77031	6.88131
DPRX.H13CORE.0.SM.B	1.93032	2.56881	8.01228
DRGX.H13CORE.0.S.B	1.43321	2.90981	5.93321
DRGX.H13CORE.1.SM.B	3.82881	5.25381	7.51001
DUX4.H13CORE.0.P.B	-2.14657	-0.32887	3.71733
DUXA.H13CORE.0.SM.B	0.45031	2.15691	5.53061
E2F1.H13CORE.0.P.B	4.41701	5.38101	7.30942
E2F1.H13CORE.1.S.B	4.43241	5.49371	7.43901
E2F2.H13CORE.0.S.B	1.63301	3.05771	6.36511
E2F3.H13CORE.0.P.B	4.49343	5.42572	7.26886
E2F3.H13CORE.1.SM.B	0.02541	1.72641	5.24481
E2F4.H13CORE.0.P.B	4.76061	5.58721	7.23111
E2F4.H13CORE.1.P.B	4.18561	5.21121	7.32271
E2F4.H13CORE.2.S.B	1.77881	3.02261	6.61921
E2F6.H13CORE.0.P.B	3.89824	4.98639	7.23219
E2F7.H13CORE.0.S.C	-4.01319	-2.05959	2.03151
E2F7.H13CORE.1.P.B	4.23861	5.19781	7.16828
E2F8.H13CORE.0.P.C	4.07607	5.09117	7.16687
E2F8.H13CORE.1.SM.B	1.96182	3.44401	6.71411
E4F1.H13CORE.0.P.B	4.77621	5.71211	7.42352
EGR1.H13CORE.0.PS.A	-0.11179	1.53091	4.98931
EGR2.H13CORE.0.PSM.A	2.79481	4.04871	6.60131
EGR3.H13CORE.0.PSM.A	3.48701	4.60371	6.92911
EGR4.H13CORE.0.S.B	4.79718	5.71938	7.45503
EHF.H13CORE.0.P.B	2.32211	3.81471	6.98831
ELF1.H13CORE.0.PSM.A	2.95831	4.46281	7.27255
ELF2.H13CORE.0.PS.A	3.16125	4.49362	7.21952
ELF2.H13CORE.1.M.B	2.10131	3.62431	7.05662
ELF3.H13CORE.0.S.B	2.99071	4.42911	7.13861
ELF3.H13CORE.1.PM.A	1.50021	3.06161	6.29461
ELF4.H13CORE.0.PS.A	2.78251	4.26994	7.17193
ELF4.H13CORE.1.M.B	1.74771	3.28941	6.48541
ELF5.H13CORE.0.PSM.A	3.30261	4.85121	7.45941
ELF5.H13CORE.1.S.B	-1.48668	0.58071	4.46921
ELK1.H13CORE.0.PSM.A	2.17585	3.67971	6.76104
ELK3.H13CORE.0.PSM.A	2.12619	3.62407	6.81535
ELK4.H13CORE.0.PSM.A	4.18593	5.50024	7.58849
EMX1.H13CORE.0.SM.B	3.49221	5.31451	7.87503
EMX2.H13CORE.0.S.B	2.35381	3.96663	7.49251
EOMES.H13CORE.0.PSM.A	4.05261	5.12515	7.31259
EPAS1.H13CORE.0.P.B	4.99133	5.96564	7.49075
ERF.H13CORE.0.PS.A	4.78411	5.75298	7.53040
ERG.H13CORE.0.P.B	3.18232	4.56461	7.25843
ERG.H13CORE.1.SM.B	2.00373	3.48123	6.75594
ERR1.H13CORE.0.PSM.A	3.65225	4.95835	7.36005
ERR2.H13CORE.0.PSM.A	2.46733	3.84641	6.89221
ERR3.H13CORE.0.PSM.A	3.41081	4.61184	6.97270
ESR1.H13CORE.0.P.B	2.41271	3.65861	6.22541
ESR1.H13CORE.1.P.B	5.34033	6.22127	7.49201
ESR2.H13CORE.0.P.B	4.20601	5.14861	7.08361
ESR2.H13CORE.1.P.B	4.60571	5.73045	8.03671
ESX1.H13CORE.0.SM.B	5.17882	6.27591	7.57890
ESX1.H13CORE.1.S.B	1.48831	3.02641	6.39171
ETS1.H13CORE.0.S.B	3.64872	4.91921	7.33528
ETS1.H13CORE.1.P.B	3.36261	4.63042	7.12743
ETS2.H13CORE.0.S.C	3.10111	4.45101	7.06281
ETS2.H13CORE.1.P.B	4.20471	5.35932	7.51875
ETV1.H13CORE.0.PSM.A	3.40991	4.81826	7.39515
ETV1.H13CORE.1.PM.A	2.56831	4.10904	7.33962
ETV2.H13CORE.0.S.B	4.86761	5.78175	7.44572
ETV2.H13CORE.1.PM.A	2.42611	3.87581	6.88332
ETV3.H13CORE.0.SM.B	3.56163	5.14801	7.57598
ETV4.H13CORE.0.P.B	4.31518	5.54466	7.63155
ETV4.H13CORE.1.SM.B	1.10371	2.67231	5.87811
ETV5.H13CORE.0.PS.A	4.09652	5.44465	7.60167
ETV5.H13CORE.1.PM.A	4.43891	5.43191	7.39856
ETV6.H13CORE.0.PS.A	4.11161	5.22611	7.36683
ETV6.H13CORE.1.P.B	3.59321	4.98302	7.44203
ETV7.H13CORE.0.SM.B	2.48781	3.91071	6.67341
ETV7.H13CORE.1.P.C	5.40002	5.82758	7.56282
EVX1.H13CORE.0.SM.B	4.59821	6.04581	7.76947
EVX2.H13CORE.0.SM.B	3.81381	5.44401	7.71593
EVX2.H13CORE.1.S.B	1.54201	3.06751	6.18691
FAM200B.H13CORE.0.PSGIB.A	1.51541	3.00451	6.06652
FBXL19.H13CORE.0.PSGIB.A	5.73710	5.97237	6.47717
FER3L.H13CORE.0.SM.B	-3.31029	-1.37939	2.73151
FEV.H13CORE.0.S.B	2.37820	3.80592	6.96772
FEZF1.H13CORE.0.P.B	4.56131	5.46561	7.28352
FIGLA.H13CORE.0.SM.B	2.00783	3.44640	7.82983
FIZ1.H13CORE.0.PSGI.A	4.11751	5.09221	7.09081
FLI1.H13CORE.0.PSM.A	3.40761	4.71912	7.32561
FLI1.H13CORE.1.P.B	3.41491	4.66741	7.15201
FLYWCH1.H13CORE.0.PSGB.A	0.23491	1.80291	5.00411
FOS.H13CORE.0.P.B	4.75822	5.61786	7.30343
FOS.H13CORE.1.S.C	5.14245	6.09904	7.58165
FOS.H13CORE.2.S.C	-1.21079	0.61514	4.28641
FOSB.H13CORE.0.P.B	4.11259	5.22340	7.44323
FOSB.H13CORE.1.M.C	4.87455	5.96408	7.61725
FOSB.H13CORE.2.M.C	0.30041	1.94401	5.32101
FOSL1.H13CORE.0.P.B	2.03835	3.43034	6.75398
FOSL2.H13CORE.0.P.B	1.40961	3.13782	5.95604
FOXA1.H13CORE.0.P.B	4.66282	5.56624	7.41513
FOXA1.H13CORE.1.S.C	-0.05769	1.62831	5.05901
FOXA2.H13CORE.0.PSM.A	2.92624	4.30353	7.28732
FOXA2.H13CORE.1.SM.B	1.24761	2.82891	6.06101
FOXA3.H13CORE.0.PS.A	3.41152	4.84246	7.55775
FOXA3.H13CORE.1.M.C	3.48411	4.63851	6.92961
FOXB1.H13CORE.0.SM.B	1.22621	2.74931	5.82741
FOXC1.H13CORE.0.S.B	1.06951	2.63261	5.81631
FOXC1.H13CORE.1.S.C	4.29431	5.38541	7.40211
FOXC2.H13CORE.0.SM.B	1.92241	3.40861	6.48871
FOXD2.H13CORE.0.S.B	-0.49719	1.21971	4.72891
FOXD2.H13CORE.1.SM.B	4.40901	5.49411	7.46651
FOXD3.H13CORE.0.P.C	4.99791	5.68101	7.04661
FOXD3.H13CORE.1.S.B	-1.15879	0.60261	4.21881
FOXE1.H13CORE.0.SM.B	2.57071	3.91791	6.63171
FOXE1.H13CORE.1.S.C	2.83621	5.32831	7.88308
FOXF1.H13CORE.0.P.C	3.55571	4.68892	7.46746
FOXG1.H13CORE.0.PSM.A	4.94131	5.93351	7.50961
FOXH1.H13CORE.0.P.B	3.61006	4.77954	7.35531
FOXI1.H13CORE.0.SM.B	-0.40239	1.41631	4.82151
FOXJ2.H13CORE.0.PSM.A	3.45071	4.90371	7.52791
FOXJ2.H13CORE.1.SM.B	-1.76969	-0.00179	3.67061
FOXJ2.H13CORE.2.S.B	1.58221	3.04581	6.01171
FOXJ3.H13CORE.0.SM.B	2.39081	3.87915	7.23524
FOXK1.H13CORE.0.PS.A	4.33319	5.53425	7.60320
FOXK2.H13CORE.0.P.B	4.40612	5.51613	7.56752
FOXL1.H13CORE.0.S.B	0.39861	1.98661	5.24071
FOXL2.H13CORE.0.PSM.A	3.94929	5.12698	7.43188
FOXM1.H13CORE.0.P.B	4.63481	5.53102	7.33984
FOXO1.H13CORE.0.PS.A	4.74560	5.91016	7.66471
FOXO3.H13CORE.0.PS.A	4.09767	5.45111	7.73256
FOXO4.H13CORE.0.SM.B	4.94715	5.96494	7.54579
FOXO6.H13CORE.0.S.B	3.79671	4.98411	7.58119
FOXP1.H13CORE.0.PS.A	4.05536	5.16609	7.53054
FOXP2.H13CORE.0.P.B	4.92597	5.67534	7.41962
FOXP3.H13CORE.0.P.B	4.91077	5.75446	7.50351
FOXR2.H13CORE.0.M.C	3.15861	4.32231	6.70171
GABPA.H13CORE.0.PSM.A	2.20311	3.65351	6.74002
GATA1.H13CORE.0.P.B	3.97731	5.19191	7.40181
GATA1.H13CORE.1.PSM.A	4.35533	5.56735	7.65797
GATA2.H13CORE.0.PSM.A	4.56935	5.66375	7.73245
GATA2.H13CORE.1.P.B	4.67791	5.61001	7.41091
GATA3.H13CORE.0.PS.A	5.18901	6.23439	7.52905
GATA3.H13CORE.1.SM.B	1.28247	2.78240	6.37039
GATA4.H13CORE.0.PSM.A	4.72466	5.79875	7.68513
GATA5.H13CORE.0.SM.B	1.81370	6.51224	7.72898
GATA6.H13CORE.0.PSM.A	3.86751	5.10881	7.61055
GATAD2A.H13CORE.0.SG.A	0.87481	2.44371	5.65491
GBX1.H13CORE.0.S.B	3.88232	5.33322	7.88875
GBX1.H13CORE.1.S.B	0.90761	2.50931	5.85211
GBX2.H13CORE.0.SM.B	2.62571	4.39292	7.99083
GBX2.H13CORE.1.S.B	1.27701	2.85551	6.25341
GCM1.H13CORE.0.S.B	2.86722	4.27161	7.35213
GCM2.H13CORE.0.SM.B	1.81054	3.62141	7.46054
GCR.H13CORE.0.PS.A	0.62821	2.16811	5.34501
GCR.H13CORE.1.S.B	5.28774	5.83381	6.61902
GFI1.H13CORE.0.PSM.A	4.80571	5.65512	7.38471
GFI1B.H13CORE.0.PSM.A	4.03210	5.21629	7.42756
GFI1B.H13CORE.1.S.C	-1.08799	0.64531	4.22821
GLI1.H13CORE.0.P.C	2.46182	3.80941	6.54693
GLI2.H13CORE.0.PSM.A	-1.93179	-0.13389	3.60341
GLI3.H13CORE.0.PS.A	-3.37579	-1.44949	2.57721
GLI3.H13CORE.1.M.C	1.94251	2.65871	7.50401
GLI4.H13CORE.0.P.C	4.38901	5.25351	7.05591
