PWM	motif_score_0.001	motif_score_0.0005	motif_score_0.0001
HXC11.H13CORE.1.S.B	5.26456	5.96107	7.30057
HXC12.H13CORE.0.SM.B	3.18341	4.50843	7.27092
HXC13.H13CORE.0.SM.B	2.37012	3.78994	6.65314
HXC4.H13CORE.0.SM.B	3.16021	5.17672	7.87351
HXC8.H13CORE.0.SM.B	4.80011	5.95341	7.61362
HXC9.H13CORE.0.P.B	4.43451	5.36791	7.25563
HXC9.H13CORE.1.S.C	4.40493	5.70082	7.70913
HXC9.H13CORE.2.M.C	2.85181	4.22672	7.41341
HXD1.H13CORE.0.SM.B	2.56851	3.71241	7.30372
HXD10.H13CORE.0.SM.B	4.10893	5.32932	7.71386
HXD11.H13CORE.0.PS.A	4.52611	5.50291	7.46563
HXD11.H13CORE.1.SM.B	3.32701	4.55051	6.99121
HXD12.H13CORE.0.SM.B	4.69024	5.71312	7.59621
HXD13.H13CORE.0.PS.A	4.58492	5.65515	7.55851
HXD13.H13CORE.1.SM.B	3.67668	4.84523	7.25549
HXD3.H13CORE.0.SM.B	2.21201	3.69571	7.18113
HXD4.H13CORE.0.SM.B	4.80441	5.95731	7.73326
HXD8.H13CORE.0.SM.B	5.23522	6.25842	7.55805
HXD9.H13CORE.0.SM.B	2.04611	3.46472	6.95722
IRF1.H13CORE.0.P.B	1.30681	2.68641	5.55261
IRF2.H13CORE.0.PSM.A	-0.62379	1.07201	4.57361
IRF3.H13CORE.0.PS.A	3.21571	4.35541	6.67941
IRF3.H13CORE.1.SM.B	-1.53119	0.11511	3.54341
IRF4.H13CORE.0.P.B	3.86861	4.89721	7.00711
IRF4.H13CORE.1.S.B	4.57661	5.47991	7.29121
IRF4.H13CORE.2.SM.B	1.51151	3.03291	6.22131
IRF5.H13CORE.0.SM.B	2.46541	3.82971	6.54161
IRF5.H13CORE.1.S.B	3.70638	5.75156	7.76910
IRF6.H13CORE.0.SM.B	2.28294	3.66169	7.72359
IRF6.H13CORE.1.S.C	-1.10139	0.65901	4.27821
IRF7.H13CORE.0.S.B	2.88841	4.19621	6.80301
IRF7.H13CORE.1.SM.B	2.76701	4.05971	6.65081
IRF8.H13CORE.0.P.B	2.20921	3.52581	6.22691
IRF8.H13CORE.1.SM.B	0.58641	2.04621	5.11091
IRF8.H13CORE.2.SM.B	3.33681	4.53161	6.97101
IRF9.H13CORE.0.PSM.A	1.09871	2.50321	5.47071
IRX1.H13CORE.0.S.C	5.52907	6.25313	7.48089
IRX2.H13CORE.0.S.B	2.48622	5.10486	8.01715
IRX3.H13CORE.0.M.C	4.68893	5.81577	7.72646
IRX3.H13CORE.1.S.B	5.42560	5.91690	6.87151
IRX3.H13CORE.2.S.C	2.66321	3.94361	6.50261
IRX5.H13CORE.0.M.C	4.60191	5.85713	7.68078
IRX5.H13CORE.1.SM.B	5.57585	6.28160	6.88274
ISL1.H13CORE.0.PSM.A	5.31542	6.18222	7.53092
ISL2.H13CORE.0.SM.B	5.34876	6.22861	7.49845
ISX.H13CORE.0.SM.B	1.99961	3.33595	7.91365
ISX.H13CORE.1.S.B	0.75101	2.36391	5.77311
ISX.H13CORE.2.SM.B	1.19321	2.72831	6.19091
ITF2.H13CORE.0.S.B	1.12391	2.67061	6.15681
ITF2.H13CORE.1.PSM.A	2.10851	3.23412	7.56327
JDP2.H13CORE.0.SM.B	1.28211	2.83761	6.13791
JRK.H13CORE.0.PSGB.A	-8.13849	-5.97319	-1.43989
JUN.H13CORE.0.P.B	1.70342	3.20284	6.29202
JUN.H13CORE.1.S.C	0.65861	2.23481	5.45191
JUNB.H13CORE.0.PM.A	3.69046	4.93113	7.34233
JUNB.H13CORE.1.S.C	0.42341	2.00231	5.28041
JUND.H13CORE.0.PM.A	0.56396	2.66390	5.31421
JUND.H13CORE.1.SM.B	4.80015	5.81302	7.55551
KAISO.H13CORE.0.P.B	4.02281	5.07952	7.23141
KAISO.H13CORE.1.P.B	4.03321	5.03641	7.08401
KDM2A.H13CORE.0.PSGB.A	5.25911	5.65964	6.26772
KLF1.H13CORE.0.P.B	4.08321	5.15641	7.29563
KLF10.H13CORE.0.P.C	3.42251	4.54091	6.83301
KLF10.H13CORE.1.PSM.A	-5.48689	-3.49889	0.66091
KLF11.H13CORE.0.P.B	1.77721	3.13171	5.93051
KLF11.H13CORE.1.SM.B	-3.23139	-1.44529	2.28601
KLF12.H13CORE.0.P.C	2.11371	3.41721	6.09091
KLF12.H13CORE.1.PSM.A	2.61771	3.85231	6.61215
KLF13.H13CORE.0.PSM.A	0.00711	1.73861	5.16831
KLF13.H13CORE.1.P.C	4.03941	5.01251	7.01571
KLF14.H13CORE.0.PSM.A	2.88151	4.23771	7.01201
KLF14.H13CORE.1.P.C	4.19761	5.11211	7.01121
KLF15.H13CORE.0.S.B	3.17761	4.50821	7.07951
KLF15.H13CORE.1.P.C	1.88451	3.16701	5.83051
KLF16.H13CORE.0.SM.B	3.94501	5.25240	7.58438
KLF16.H13CORE.1.P.B	3.13951	4.21031	6.45611
KLF17.H13CORE.0.M.C	2.04211	3.54901	6.68221
KLF17.H13CORE.1.P.C	4.56996	5.45971	7.26392
KLF2.H13CORE.0.S.C	3.97576	5.27958	7.48031
KLF3.H13CORE.0.PS.A	3.82231	4.99381	7.31071
KLF3.H13CORE.1.M.C	3.83381	5.14141	7.49776
KLF4.H13CORE.0.PSM.A	3.92606	5.09886	7.37910
KLF5.H13CORE.0.PM.A	4.24851	5.29001	7.43162
KLF6.H13CORE.0.P.B	4.30111	5.27711	7.22571
KLF6.H13CORE.1.SM.B	2.61791	4.09411	7.21731
KLF7.H13CORE.0.P.B	4.57155	5.55498	7.41179
KLF8.H13CORE.0.P.C	3.07621	4.30972	6.78352
KLF8.H13CORE.1.P.C	2.77591	3.92471	6.31371
KLF9.H13CORE.0.P.B	2.53061	3.82691	6.47681
KLF9.H13CORE.1.P.B	0.35621	1.76731	4.72001
KMT2A.H13CORE.0.P.B	1.94331	3.12131	5.61181
KMT2B.H13CORE.0.P.B	2.37006	3.90705	6.55367
LBX2.H13CORE.0.S.B	1.91351	3.39482	6.88541
LBX2.H13CORE.1.S.B	1.85531	3.31211	6.69821
LBX2.H13CORE.2.M.C	3.88891	5.16551	7.43652
LEF1.H13CORE.0.PSM.A	2.25611	3.69717	6.75164
LEF1.H13CORE.1.P.B	4.08461	5.09791	7.14561
LEUTX.H13CORE.0.PSGB.A	5.42125	5.98693	7.55036
LHX1.H13CORE.0.S.C	5.49771	6.22042	7.53641
LHX1.H13CORE.1.M.C	5.11971	6.04593	7.70858
LHX2.H13CORE.0.PS.A	5.07047	5.85732	7.37075
LHX2.H13CORE.1.S.C	1.31931	2.86241	6.27931
LHX3.H13CORE.0.P.B	4.45614	5.50415	7.53625
LHX4.H13CORE.0.SM.B	3.29611	5.26625	7.95803
LHX5.H13CORE.0.PSM.A	2.22971	4.00364	8.07987
LHX6.H13CORE.0.P.B	4.80550	5.87903	7.87390
LHX6.H13CORE.1.S.B	2.31401	3.76021	7.74081
LHX6.H13CORE.2.M.C	3.00431	4.62411	7.51441
LHX8.H13CORE.0.S.B	2.45376	3.70411	7.58235
LHX8.H13CORE.1.M.C	3.19831	4.91841	7.55640
LHX9.H13CORE.0.PS.A	2.49653	4.18055	7.74159
LHX9.H13CORE.1.M.B	3.81351	5.40045	7.66563
LMX1A.H13CORE.0.SM.B	3.03631	5.24342	7.92594
LMX1B.H13CORE.0.P.C	4.66349	5.63416	7.49164
LMX1B.H13CORE.1.SM.B	0.35631	2.10077	5.14931
LMX1B.H13CORE.2.S.B	-0.02249	1.65621	5.12501
LRRF1.H13CORE.0.P.B	4.78440	5.61442	7.49071
LYL1.H13CORE.0.P.C	5.27041	5.82141	6.81901
LYL1.H13CORE.1.P.C	4.38871	5.28451	7.13031
MAD4.H13CORE.0.P.C	5.21738	5.81050	7.05351
MAF.H13CORE.0.PM.A	4.35371	5.28741	7.19281
MAF.H13CORE.1.PSM.A	2.34411	3.76261	7.65111
MAFA.H13CORE.0.PSM.A	3.14041	4.36461	6.84751
MAFA.H13CORE.1.M.C	-0.90229	0.82401	4.40581
MAFB.H13CORE.0.PS.A	2.09471	3.39411	6.07061
MAFB.H13CORE.1.P.B	4.24096	5.24169	7.58306
MAFF.H13CORE.0.PSM.A	2.27681	3.46971	5.96761
MAFF.H13CORE.1.PSM.A	2.26671	3.84971	7.50551
MAFG.H13CORE.0.PSM.A	-0.81259	0.84611	4.27891
MAFG.H13CORE.1.PSM.A	3.71711	4.88331	7.42051
MAFK.H13CORE.0.PS.A	0.74991	2.27831	5.41331
MAFK.H13CORE.1.P.B	3.87991	4.90142	7.01984
MAFK.H13CORE.2.S.B	3.47991	5.55352	7.80742
MAX.H13CORE.0.PS.A	3.65053	5.10991	7.80397
MAX.H13CORE.1.M.C	2.79321	4.59701	7.71981
MAX.H13CORE.2.S.C	-2.56499	-0.69549	3.19361
MAZ.H13CORE.0.P.B	4.77471	5.58841	7.23531
MAZ.H13CORE.1.P.B	3.36931	4.44711	6.68551
MBD1.H13CORE.0.PSIB.A	5.28391	5.70201	6.43294
MBD3.H13CORE.0.P.B	4.38171	5.26871	7.09841
MBNL2.H13CORE.0.B.B	5.85120	6.15293	6.52007
MCR.H13CORE.0.S.B	-0.75389	0.93581	4.49611
MCR.H13CORE.1.SM.B	5.35487	5.80267	6.53724
MEF2A.H13CORE.0.P.B	3.67761	4.76371	6.97511
MEF2B.H13CORE.0.PS.A	4.95301	5.62791	6.99701
MEF2B.H13CORE.1.SM.B	2.57571	3.84011	6.40521
MEF2C.H13CORE.0.P.B	4.65021	5.47401	7.16452
MEF2C.H13CORE.1.SM.B	4.33061	5.42141	7.42151
MEF2D.H13CORE.0.PS.A	3.49891	4.64041	6.94471
MEF2D.H13CORE.1.M.C	4.69341	5.63771	7.39531
MEIS1.H13CORE.0.P.B	4.46201	5.43671	7.34511
MEIS1.H13CORE.1.PS.A	5.18942	5.79343	7.13971
MEIS2.H13CORE.0.P.C	4.77451	5.62731	7.29871
MEIS2.H13CORE.1.PSM.A	4.79282	5.85731	7.57769
MEIS2.H13CORE.2.SM.B	0.35641	2.05812	5.37881
MEIS3.H13CORE.0.SM.B	1.48907	6.75385	7.52473
MEIS3.H13CORE.1.S.B	2.22631	3.62591	6.41471
MEOX1.H13CORE.0.SM.B	4.11701	5.62531	7.77021
MEOX2.H13CORE.0.SM.B	4.88231	6.21901	7.66076
MESP1.H13CORE.0.S.C	5.24921	6.03234	7.18602
MESP2.H13CORE.0.S.C	0.64491	2.36501	5.55871
MGA.H13CORE.0.PSG.A	-3.73549	-1.92999	1.84881
MGAP.H13CORE.0.P.C	4.61054	5.56296	7.33881
MGAP.H13CORE.1.S.B	1.01491	2.43381	5.36591
MITF.H13CORE.0.P.B	4.23150	5.36391	7.50492
MIXL1.H13CORE.0.SM.B	-1.72659	0.04811	3.71941
MIXL1.H13CORE.1.S.B	3.16622	5.01167	7.90862
MKX.H13CORE.0.PSGIB.A	5.43880	5.92258	6.63718
MLX.H13CORE.0.PM.A	5.20324	5.89270	7.06509
MLX.H13CORE.1.SM.B	2.66153	3.93279	7.44410
MLXPL.H13CORE.0.S.B	2.43781	3.79911	7.11911
MNT.H13CORE.0.PS.A	4.28264	5.26227	7.39302
MNX1.H13CORE.0.SM.B	3.23081	4.97442	7.79012
MSANTD1.H13CORE.0.PSGIB.A	4.55357	5.55718	7.49883
MSANTD4.H13CORE.0.SGIB.A	1.88011	3.32731	7.16441
MSGN1.H13CORE.0.PSM.A	2.33241	3.75851	7.35072
MSX1.H13CORE.0.SM.B	1.93754	4.15982	8.03202
MSX1.H13CORE.1.S.C	2.19701	3.73831	6.92921
MSX2.H13CORE.0.SM.B	4.74561	5.89675	7.81307
MSX2.H13CORE.1.SM.B	2.13361	3.85221	6.97961
MTF1.H13CORE.0.SM.B	-4.88909	-2.83259	1.37281
MUSC.H13CORE.0.SM.B	3.33401	4.65674	7.38864
MXI1.H13CORE.0.P.B	4.49538	5.40906	7.39806
MYB.H13CORE.0.P.B	5.09363	6.11302	7.51221
MYBA.H13CORE.0.P.B	4.62931	5.65491	7.47941
MYBA.H13CORE.1.PS.A	4.87527	5.91429	7.63299
MYBA.H13CORE.2.S.B	1.13951	2.72101	5.95121
MYBB.H13CORE.0.S.B	0.78811	2.38561	5.79551
MYBB.H13CORE.1.S.B	5.21439	5.96261	7.49419
MYC.H13CORE.0.P.B	4.54127	5.64334	7.68406
MYCN.H13CORE.0.PS.A	4.23442	5.30751	7.36106
MYCN.H13CORE.1.M.C	4.43171	5.88493	7.73616
MYF5.H13CORE.0.P.B	1.76885	3.10221	6.51482
MYF6.H13CORE.0.SM.B	2.43681	3.65421	7.14451
MYNN.H13CORE.0.P.B	3.60511	4.64951	6.80891
MYOD1.H13CORE.0.P.B	2.70141	3.97871	7.12201
MYOD1.H13CORE.1.PSM.A	4.13405	4.98002	7.74477
MYOG.H13CORE.0.PSM.A	-3.94129	-1.71239	2.06771
MYPOP.H13CORE.0.PSGB.A	5.19173	6.23032	7.61624
MYRFL.H13CORE.0.P.C	3.10901	4.28061	6.68651
MYSM1.H13CORE.0.P.B	2.12421	3.51251	6.30481
MYT1.H13CORE.0.SG.A	2.44401	3.91951	6.93591
MYT1L.H13CORE.0.P.C	5.05838	6.18776	7.68906
MZF1.H13CORE.0.P.B	4.12301	5.65172	7.69371
NACC2.H13CORE.0.PSGIB.A	5.52425	5.97608	6.81074
NANOG.H13CORE.0.P.B	4.21941	5.14241	7.05541
NANOG.H13CORE.1.P.B	4.87933	5.74448	7.42361
NANOG.H13CORE.2.M.C	4.62933	5.65513	7.48775
NDF1.H13CORE.0.P.B	2.55953	3.95840	7.27381
NDF1.H13CORE.1.S.C	4.33013	5.46391	7.49666
NDF2.H13CORE.0.P.B	3.62064	4.88702	7.28154
NDF2.H13CORE.1.S.B	3.22932	4.59898	7.42983
NF2L1.H13CORE.0.P.B	-1.21679	0.47761	3.99301
NF2L2.H13CORE.0.P.B	3.74691	4.84091	7.03731
NF2L2.H13CORE.1.P.B	-0.07819	1.48881	4.73591
NFAC1.H13CORE.0.P.B	3.57731	4.67061	6.88261
NFAC1.H13CORE.1.PS.A	3.20273	4.85774	7.65427
NFAC1.H13CORE.2.SM.B	0.79541	2.38181	5.80401
NFAC1.H13CORE.3.SM.B	2.96521	4.56471	7.28361
NFAC2.H13CORE.0.P.B	3.91021	4.96501	7.06401
NFAC2.H13CORE.1.PS.A	4.64543	5.63068	7.46879
NFAC2.H13CORE.2.S.C	1.39401	2.95501	6.24171
NFAC2.H13CORE.3.M.C	2.74892	5.20304	7.91471
NFAC2.H13CORE.4.M.B	0.95421	2.54331	5.86981
NFAC3.H13CORE.0.SM.B	2.15591	3.10711	7.68071
NFAC3.H13CORE.1.P.C	4.93343	5.79664	7.42139
NFAC4.H13CORE.0.P.C	3.89530	5.86110	7.80963
NFAC4.H13CORE.1.SM.B	2.66651	4.21994	7.83353
NFAT5.H13CORE.0.SM.B	3.35701	4.84454	7.42731
NFAT5.H13CORE.1.PS.A	-0.27229	1.44091	4.95332
NFE2.H13CORE.0.P.B	-0.45169	1.28611	4.88377
NFE2.H13CORE.1.SM.B	-0.60189	1.13431	4.67281
NFIA.H13CORE.0.P.B	5.03702	6.22791	7.64731
NFIA.H13CORE.1.PS.A	-10.79459	-8.46889	-3.34749
NFIB.H13CORE.0.PSM.A	-3.45249	-1.50279	2.50111
NFIB.H13CORE.1.PS.A	4.89303	6.12601	7.47952
NFIC.H13CORE.0.PSM.A	0.57301	2.07071	5.15811
NFIC.H13CORE.1.PSM.A	5.29722	6.26408	7.00960
NFIL3.H13CORE.0.P.B	3.22173	4.51345	7.20174
NFIL3.H13CORE.1.S.B	1.29211	2.84651	6.14411
NFIX.H13CORE.0.SM.B	1.46401	2.85101	5.76081
NFIX.H13CORE.1.S.B	3.78300	6.20116	7.92897
NFKB1.H13CORE.0.PS.A	1.99341	3.37343	6.15746
NFKB2.H13CORE.0.PSM.A	2.03051	3.49311	6.45301
NFYA.H13CORE.0.P.B	3.25201	4.50141	7.16891
NFYB.H13CORE.0.P.B	2.74311	4.08661	7.01801
NFYC.H13CORE.0.P.B	2.69311	4.07251	6.96921
NGN1.H13CORE.0.SM.B	0.02191	1.88831	5.21421
NGN2.H13CORE.0.P.B	3.41247	4.78604	7.37740
NGN2.H13CORE.1.SM.B	0.63131	2.16021	5.62621
NKX21.H13CORE.0.P.B	5.17540	5.83775	7.06578
NKX22.H13CORE.0.P.B	5.31101	5.92481	6.87167
NKX23.H13CORE.0.SM.B	4.63211	5.86401	7.70630
NKX25.H13CORE.0.PSM.A	4.32387	5.67169	7.71995
NKX25.H13CORE.1.P.B	4.48431	5.39761	7.24941
NKX28.H13CORE.0.SM.B	5.29602	6.18294	7.49374
NKX31.H13CORE.0.PSM.A	2.94751	4.33311	7.18911
NKX32.H13CORE.0.PSM.A	4.63612	5.69160	7.75355
NKX32.H13CORE.1.S.B	0.96691	2.52711	5.71591
NKX61.H13CORE.0.PS.A	4.08131	5.05281	7.03821
NKX61.H13CORE.1.P.B	5.00296	5.96369	7.59461
NKX61.H13CORE.2.S.B	3.34211	5.15062	7.77383
NKX62.H13CORE.0.SM.B	4.78161	5.90463	7.65692
NKX63.H13CORE.0.SM.B	1.69051	3.10621	6.41081
NOTO.H13CORE.0.SM.B	4.99701	6.01001	7.52401
NPAS2.H13CORE.0.M.B	2.71141	4.07231	6.75011
NPAS2.H13CORE.1.M.C	2.66303	4.31635	7.98989
NPAS2.H13CORE.2.S.B	-2.74419	-0.87129	2.98931
NPAS3.H13CORE.0.P.C	5.03944	5.87983	7.39933
NPAS4.H13CORE.0.P.B	5.25406	6.13695	7.48058
NR1D1.H13CORE.0.P.B	4.38921	5.32991	7.22471
NR1D1.H13CORE.1.SM.B	-3.24009	-1.42149	2.37631
NR1D2.H13CORE.0.P.B	4.46191	5.38571	7.24351
NR1D2.H13CORE.1.SM.B	-1.30959	0.32771	3.74961
NR1H2.H13CORE.0.P.C	4.31341	5.44531	7.52931
NR1H2.H13CORE.1.P.C	4.18491	5.11791	7.04511
NR1H3.H13CORE.0.P.B	3.96001	4.93781	6.96381
NR1H3.H13CORE.1.P.B	4.85091	5.74591	7.41561
NR1H4.H13CORE.0.P.B	3.96131	4.91611	6.90811
NR1H4.H13CORE.1.P.B	3.92911	4.92791	6.98481
NR1H4.H13CORE.2.P.B	5.25999	5.91754	7.41082
NR1I2.H13CORE.0.M.C	3.19931	4.36541	6.72481
NR1I2.H13CORE.1.S.C	4.02951	5.36762	7.75561
NR1I3.H13CORE.0.P.B	4.52171	5.39991	7.17811
NR1I3.H13CORE.1.PSM.A	1.40441	2.77421	6.50201
NR1I3.H13CORE.2.M.C	1.21681	2.74511	6.39211
NR2C1.H13CORE.0.S.C	3.41441	5.65185	7.81726
NR2C1.H13CORE.1.PM.A	3.20491	4.48941	7.00351
NR2C2.H13CORE.0.SM.B	4.87362	6.10501	7.65842
NR2C2.H13CORE.1.PS.A	4.68031	5.49381	7.15811
NR2E1.H13CORE.0.SM.B	4.65468	5.50266	7.68021
NR2E1.H13CORE.1.S.B	-4.47279	-2.52409	1.55341
NR2F6.H13CORE.0.P.C	4.07191	5.12621	7.24081
NR2F6.H13CORE.1.PSM.A	5.05821	5.85022	7.35758
NR2F6.H13CORE.2.SM.B	2.43251	3.76211	6.42951
NR2F6.H13CORE.3.SM.B	2.11831	3.63491	6.62611
NR4A1.H13CORE.0.PSM.A	3.05556	4.40946	7.05080
NR4A2.H13CORE.0.SM.B	4.03809	5.24854	7.46872
NR5A2.H13CORE.0.PSM.A	3.41714	4.71169	7.30570
NR6A1.H13CORE.0.P.C	4.28711	5.22611	7.14681
NR6A1.H13CORE.1.P.C	4.36823	5.32351	7.21601
NR6A1.H13CORE.2.SM.B	-0.88999	0.72951	4.09491
NRF1.H13CORE.0.PS.A	2.02641	3.42831	6.27721
NRL.H13CORE.0.SM.B	2.79581	4.18731	7.16124
NRL.H13CORE.1.SM.B	-2.95739	-1.08789	2.81721
OLIG1.H13CORE.0.S.B	-0.36449	1.68741	4.99541
OLIG2.H13CORE.0.P.B	4.10841	5.14691	7.20761
OLIG2.H13CORE.1.P.B	4.21873	5.37203	7.60862
OLIG2.H13CORE.2.SM.B	4.28368	5.40874	7.41809
OLIG3.H13CORE.0.SM.B	-1.96145	-0.35536	4.21615
ONEC2.H13CORE.0.S.B	2.77241	4.02851	7.08323
ONEC2.H13CORE.1.PM.A	0.38211	2.40122	5.49981
ONEC2.H13CORE.2.S.B	0.33001	1.94941	5.41913
ONEC2.H13CORE.3.P.B	-7.05829	-5.02949	-0.76319
ONEC3.H13CORE.0.S.B	1.62711	3.10571	6.26391
ONEC3.H13CORE.1.S.C	1.92823	2.85761	7.41914
ONEC3.H13CORE.2.M.C	0.28541	1.99281	5.33785
OSR1.H13CORE.0.SM.B	2.39408	3.46423	7.09530
OSR2.H13CORE.0.PSM.A	4.71621	5.97372	7.61368
OSR2.H13CORE.1.M.C	-1.29299	0.63831	4.27681
OTX1.H13CORE.0.SM.B	3.97209	5.59483	7.81251
OTX1.H13CORE.1.S.B	1.39181	2.94621	6.12861
OTX2.H13CORE.0.PSM.A	4.40611	5.50936	7.69968
OVOL1.H13CORE.0.SM.B	0.38711	2.18091	5.41751
OVOL2.H13CORE.0.PSM.A	1.98891	2.88952	7.66071
OZF.H13CORE.0.P.B	-21.92649	-19.29459	-13.69449
P53.H13CORE.0.P.B	0.60611	2.07271	5.10441
P53.H13CORE.1.S.C	2.29092	3.68522	7.37681
P5F1B.H13CORE.0.S.B	-0.44289	1.23491	4.68681
P63.H13CORE.0.PS.A	2.62241	3.97431	6.67821
P63.H13CORE.1.PS.A	4.66581	5.72447	7.55753
P73.H13CORE.0.PS.A	2.95251	4.13401	6.55971
P73.H13CORE.1.P.B	4.74203	5.65801	7.46112
PATZ1.H13CORE.0.P.B	3.63591	4.65921	6.78241
PATZ1.H13CORE.1.P.C	4.17636	5.21332	7.25401
PAX1.H13CORE.0.SM.B	3.28721	4.45991	6.81561
PAX2.H13CORE.0.SM.B	3.40151	4.52851	6.81791
PAX3.H13CORE.0.PS.A	4.61071	5.60081	7.45991
PAX3.H13CORE.1.SM.B	2.98541	4.17751	6.63261
PAX3.H13CORE.2.P.C	4.74791	5.55771	7.18387
PAX3.H13CORE.3.S.B	-1.98649	-0.10469	3.71751
PAX4.H13CORE.0.SM.B	5.62038	6.07448	6.74832
PAX4.H13CORE.1.S.C	1.18161	2.72361	5.85481
PAX5.H13CORE.0.PS.A	1.99671	3.37711	6.17451
PAX6.H13CORE.0.PSM.A	4.42791	5.34241	7.19881
PAX7.H13CORE.0.P.B	5.05541	5.71561	7.00957
PAX7.H13CORE.1.S.B	2.40521	3.80911	6.61271
PAX7.H13CORE.2.PM.A	1.47341	2.92221	5.98992
PAX8.H13CORE.0.PSM.A	-0.56239	1.06591	4.42541
PAX9.H13CORE.0.SM.B	1.92871	3.29211	6.06521
PBX1.H13CORE.0.P.B	4.57571	5.53061	7.36502
PBX1.H13CORE.1.P.B	4.79518	5.69218	7.35344
PBX1.H13CORE.2.P.B	4.96105	5.77937	7.35744
PBX2.H13CORE.0.P.B	4.75582	5.57964	7.23854
PBX2.H13CORE.1.P.C	4.43127	5.53272	7.43563
PBX2.H13CORE.2.P.C	4.77107	5.66472	7.48519
PBX3.H13CORE.0.P.B	4.42711	5.47982	7.42462
PBX3.H13CORE.1.P.B	4.74043	5.70575	7.45351
PDX1.H13CORE.0.P.B	4.34142	5.27947	7.20677
PDX1.H13CORE.1.PSM.A	3.96411	5.60351	7.87692
PHF21A.H13CORE.0.B.B	5.19882	5.61983	6.35256
PHX2A.H13CORE.0.PS.A	3.40001	4.54431	6.85941
PHX2A.H13CORE.1.SM.B	4.28424	5.76102	7.83306
PHX2B.H13CORE.0.PSM.A	-1.57409	0.18721	3.83341
PHX2B.H13CORE.1.SM.B	4.53425	5.99926	7.90077
PIT1.H13CORE.0.SM.B	-1.26879	0.45661	4.05752
PIT1.H13CORE.1.S.B	2.83901	4.25731	7.12421
PITX1.H13CORE.0.PSM.A	4.31054	5.66800	7.90109
PITX1.H13CORE.1.S.B	1.72951	3.18911	6.13981
PITX2.H13CORE.0.SM.B	4.92252	5.79004	7.84084
PITX3.H13CORE.0.SM.B	4.24668	5.61952	7.79351
PITX3.H13CORE.1.S.B	2.55581	3.93421	6.78691
PKNX1.H13CORE.0.P.B	4.29591	5.34462	7.36251
PKNX1.H13CORE.1.P.B	4.25121	5.26758	7.29631
PKNX1.H13CORE.2.SM.B	5.31167	5.91331	7.36449
PKNX1.H13CORE.3.SM.B	1.93161	3.48211	6.63041
PKNX2.H13CORE.0.SM.B	0.71331	2.33991	5.62141
PKNX2.H13CORE.1.SM.B	4.06663	5.35355	7.57216
PO2F1.H13CORE.0.PS.A	2.74883	4.12726	6.73892
PO2F2.H13CORE.0.PSM.A	3.66873	4.83144	7.25151
PO2F2.H13CORE.1.M.C	1.44311	2.97991	6.14641
PO2F2.H13CORE.2.S.B	2.90521	4.32162	7.04141
PO2F3.H13CORE.0.PS.A	2.84991	4.16711	7.09482
PO2F3.H13CORE.1.S.C	0.30851	1.87811	5.09811
PO3F1.H13CORE.0.P.B	4.57721	5.46091	7.25211
PO3F1.H13CORE.1.PS.A	2.20221	3.53241	6.28091
PO3F1.H13CORE.2.S.C	5.17156	5.96200	7.65408
PO3F1.H13CORE.3.M.C	0.20611	1.80781	5.08311
PO3F2.H13CORE.0.P.B	0.53651	2.07311	5.23481
PO3F2.H13CORE.1.S.B	3.55971	4.99681	7.41911
PO3F2.H13CORE.2.SM.B	0.35031	1.91701	5.13221
PO3F3.H13CORE.0.P.C	4.40051	5.36153	7.29133
PO3F3.H13CORE.1.P.C	4.29491	5.23911	7.16461
PO3F3.H13CORE.2.S.B	3.94984	5.62103	7.69671
PO3F4.H13CORE.0.SM.B	-1.52579	0.19151	3.80001
PO4F1.H13CORE.0.S.B	4.31671	5.46151	7.54604
PO4F1.H13CORE.1.SM.B	1.98551	3.31611	6.05621
PO4F2.H13CORE.0.S.B	1.10881	2.56411	5.56501
PO4F3.H13CORE.0.SM.B	2.40841	3.73201	6.41891
PO5F1.H13CORE.0.P.B	3.40451	4.49471	6.74531
PO5F1.H13CORE.1.P.B	4.25611	5.31401	7.34235
PO5F1.H13CORE.2.SM.B	-5.12769	-3.00469	1.33021
PO6F1.H13CORE.0.SM.B	2.53562	3.99803	7.57831
PO6F2.H13CORE.0.S.B	2.71651	4.20071	7.72491
POGK.H13CORE.0.SI.A	-2.24259	-0.47219	3.20461
PPARA.H13CORE.0.P.B	4.18531	5.10811	7.02321
PPARA.H13CORE.1.P.B	4.78483	5.61095	7.17885
PPARD.H13CORE.0.PSM.A	3.97921	4.96671	6.99981
PPARG.H13CORE.0.P.B	4.01301	4.98721	6.99311
PPARG.H13CORE.1.P.B	4.82082	5.61705	7.22133
PRD13.H13CORE.0.P.B	4.11133	5.18792	7.27015
PRD14.H13CORE.0.P.B	4.65491	5.51931	7.24981
PRD15.H13CORE.0.P.B	4.24091	5.23571	7.20961
PRD16.H13CORE.0.P.B	4.53574	5.46496	7.32697
PRDM1.H13CORE.0.S.B	2.96582	4.34361	7.05475
PRDM1.H13CORE.1.PS.A	2.54551	3.85051	6.50361
PRDM10.H13CORE.0.PSGI.A	2.35321	3.78621	6.72251
PRDM13.H13CORE.0.PSGI.A	4.14351	5.58091	7.77752
PRDM4.H13CORE.0.PSM.A	3.39661	4.53681	6.84751
PRDM5.H13CORE.0.PSGI.A	2.25261	3.54511	6.17251
PRDM6.H13CORE.0.P.B	4.89631	5.80181	7.45592
PRDM9.H13CORE.0.P.B	2.98591	4.18311	6.62571
